task,model,n,accuracy,macro_f1,adjacent_accuracy,auc,base_rate
"severity_bucket(<=105,105-120,>120)",gbm,1016,0.41633858267716534,0.3735765502412731,,,
"severity_bucket(<=105,105-120,>120)",majority,1016,0.30413385826771655,0.15547169811320755,,,
upgrade_cost_bucket,"gbm(project-level, uses ranker probs)",279,0.3046594982078853,0.2869954034937524,0.6379928315412187,,
upgrade_cost_bucket,majority,279,0.15053763440860216,0.05233644859813084,0.4157706093189964,,
upgrade_cost_bucket,geo+size+queue only,279,0.27956989247311825,0.25737835915269935,0.6129032258064516,,
withdrawal,gbm(project-level),279,,,,0.5213850837138508,0.21505376344086022
withdrawal,geo+size+queue only,279,,,,0.5495053272450533,0.21505376344086022
