config,split,hit5,hit10,recall10,mrr,na_hit5,na_recall10
binary_current,valid,0.5877192982456141,0.6973684210526315,0.34843383736282346,0.48753550606234397,0.5639810426540285,0.32320365251075506
binary_current,test,0.5032258064516129,0.6,0.30780176635860546,0.40487523034711104,0.40816326530612246,0.2546704621944787
binary_regularised,valid,0.6228070175438597,0.6929824561403509,0.3539074322740435,0.4834445791573303,0.5497630331753555,0.2965580341835761
binary_regularised,test,0.5225806451612903,0.5741935483870968,0.29672606060393025,0.39689502107743685,0.4013605442176871,0.25448456860669344
lambdarank,valid,0.6140350877192983,0.6885964912280702,0.35080734415382525,0.46127505818812287,0.5687203791469194,0.3312460335841323
lambdarank,test,0.5419354838709678,0.632258064516129,0.3314197034111775,0.4284819846354693,0.47619047619047616,0.29703048650554426
