task,model,n,accuracy,macro_f1,adjacent_accuracy,auc,base_rate
"severity_bucket(<=105,105-120,>120)",gbm,3147,0.43628852875754687,0.4133055011872939,,,
"severity_bucket(<=105,105-120,>120)",majority,3147,0.3320622815379727,0.16618956743002544,,,
upgrade_cost_bucket,"gbm(project-level, uses ranker probs)",698,0.3667621776504298,0.3207617568354917,0.6862464183381088,,
upgrade_cost_bucket,majority,698,0.18481375358166188,0.062394195888754535,0.4699140401146132,,
upgrade_cost_bucket,geo+size+queue only,698,0.30659025787965616,0.25309314492590895,0.6375358166189111,,
withdrawal,gbm(project-level),698,,,,0.5971914264597191,0.23638968481375358
withdrawal,geo+size+queue only,698,,,,0.5923020069361533,0.23638968481375358
