Project ID,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim/Interconnection Service/Generation Interconnection Agreement,Interim/Interconnection Service/Generation Interconnection Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Submitted Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Commercial Operation Milestone,Actual In Service Date,Attachment Type,Alternate Project,Sliding Project
AB2-138,Clybourn 12.5kV,,IL,Cook,Withdrawn,ComEd,0.1,0.1,0.0,,Energy,Generation Interconnection,Storage,,,,,Withdrawn,,,,,,,,,,,,,4/28/2016,,,,5/20/2016,Customer Milestone Not Met,,,,Y,No,
AB2-139,Raceway Mall 34.5kV,Freemall Fuel Cell Facility,NJ,Monmouth,In Service,JCPL,0.42,0.42,0.0,0.42,Energy,Generation Interconnection,Other,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2139_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2139_imp.pdf,Document Posted,,Not Required,,Wholesale Market Participation Agreement,https://www.pjm.com/pjmfiles/pub/planning/project-queues/wmpa/ab2139_wmpa.pdf,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2139_wmpa.pdf,Not Required,,,,4/29/2016,,,,,,6/30/2017,6/30/2017,2/1/2018,Y,No,
AB2-140,Rock Ridge 13kV,,MD,Harford,Withdrawn,BGE,3.0,3.0,1.1,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2140_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2140_imp.pdf,Document Posted,,Not Required,,Withdrawn,,,Not Required,,,,4/29/2016,,,,7/27/2017,Customer Initiated Withdrawal,10/31/2017,10/31/2017,,N,No,
AB2-141,George Washington 138kV,,WV,Marshall,Withdrawn,AEP,394.0,394.0,388.6,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2141_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2141_imp.pdf,Document Posted,,Withdrawn,,,,,,,,,4/29/2016,,,,2/27/2019,,4/1/2019,,,N,No,
AB2-142,Steele 25kV,,MD,Caroline,Withdrawn,DPL,13.4,13.4,5.1,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2142_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2142_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,5/24/2017,Customer Milestone Not Met,12/31/2018,,,N,No,
AB2-143,Lynch 25kV,,MD,Kent,Withdrawn,DPL,20.0,20.0,7.6,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2143_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,10/14/2016,Customer Milestone Not Met,12/31/2018,,,N,No,
AB2-144,Emmitsburg–Taneytown 2 34.5 kV,,MD,Frederick,Withdrawn,APS,13.8,13.8,5.2,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2144_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2144_imp.pdf,Document Posted,,,,Withdrawn,,,Withdrawn,,,,4/29/2016,,,,11/9/2016,Customer Milestone Not Met,3/1/2017,,,N,No,
AB2-145,Axton 138kV,,VA,Henry,Withdrawn,AEP,572.0,572.0,572.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2145_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2145_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,2/23/2018,,1/1/2021,,,N,No,
AB2-146,Axton 138kV,,VA,Henry,Withdrawn,AEP,382.0,382.0,382.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2146_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,10/3/2016,Customer Initiated Withdrawal,1/1/2021,,,N,No,
AB2-147,Clubhouse-Freeman 115kV,,VA,Greensville,Withdrawn,Dominion,40.0,40.0,0.0,,Energy,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2147_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2147_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,7/11/2017,Customer Initiated Withdrawal,10/30/2017,,,N,No,
