ProjectID,Cycle,State,Status,ProjectType,TransmissionOwner,Zone,MFO,MW_Energy,MW_Capacity,CapacityOrEnergy,Fuel,FuelPrimary,InServiceYear,TransmissionType
AG2-562,TC2,IN,Active,Generation Interconnection,AEP,AEP,767.0,52.0,0.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2025,
AH1-392,TC2,IN,Active,Generation Interconnection,AEP,AEP,90.0,90.0,60.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-153,TC2,IN,Active,Generation Interconnection,AEP,AEP,200.0,50.0,30.0,CAPACITY_RESOURCE,Solar,Solar,2030,
AG2-245,TC2,IN,Active,Generation Interconnection,AEP,AEP,210.0,210.0,126.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-292,TC2,IN,Active,Generation Interconnection,AEP,AEP,200.0,0.0,44.0,CAPACITY_RESOURCE,Solar,Solar,2027,
AF1-204,TC1,IN,EP,Generation Interconnection,AEP,AEP,255.0,255.0,63.75,Capacity,Wind,Wind,2029,
AG2-126,TC2,IN,Active,Generation Interconnection,AEP,AEP,150.0,150.0,90.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AG1-471,TC1,KY,EP,Generation Interconnection,EKPC,EKPC,54.0,54.0,32.4,Capacity,Solar,Solar,2029,
AG2-014,TC2,IN,Active,Generation Interconnection,AEP,AEP,50.0,50.0,20.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AG2-491,TC2,IN,Active,Generation Interconnection,AEP,AEP,100.0,100.0,60.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-492,TC2,IN,Active,Generation Interconnection,AEP,AEP,50.0,50.0,20.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AH1-239,TC2,KY,Active,Generation Interconnection,EKPC,EKPC,80.0,80.0,48.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-617,TC2,MD,Active,Generation Interconnection,BGE,BGE,55.0,55.0,33.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-261,TC2,MD,Active,Generation Interconnection,BGE,BGE,135.0,135.0,135.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AG2-618,TC2,MD,Active,Generation Interconnection,PEPCO,PEPCO,110.0,110.0,71.5,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-283,TC2,MD,Active,Generation Interconnection,APS,APS,200.0,200.0,120.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-725,TC2,MD,Active,Generation Interconnection,BGE,BGE,500.0,500.0,500.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AG1-483,TC1,MD,EP,Generation Interconnection,PEPCO,PEPCO,500.0,500.0,500.0,Capacity,Storage,Storage,2030,
AH1-744,TC2,MD,Active,Generation Interconnection,PEPCO,PEPCO,853.5,53.5,48.28,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2027,
AH1-552,TC2,MD,Active,Generation Interconnection,PEPCO,PEPCO,670.2,670.2,670.2,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2027,
AG2-380,TC2,MD,Active,Generation Interconnection,DPL,DPL,20.0,20.0,20.0,CAPACITY_RESOURCE,Storage,Storage,2027,
AH1-057,TC2,MD,Active,Generation Interconnection,DPL,DPL,7.2,7.2,3.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AF2-396,TC1,MI,EP,Generation Interconnection,AEP,AEP,200.0,200.0,200.0,Capacity,"Solar,Storage,Hybrid",Solar,2029,
AF1-176,TC1,MI,EP,Generation Interconnection,AEP,AEP,300.0,300.0,155.68,Capacity,"Solar,Storage,Hybrid",Solar,2029,
AF1-161,TC1,MI,EP,Generation Interconnection,AEP,AEP,50.0,50.0,25.0,Capacity,Storage,Storage,2029,
AG1-109,TC1,MI,EP,Generation Interconnection,AEP,AEP,50.0,0.0,25.0,Capacity,Storage,Storage,2029,
AH1-272,TC2,MI,Active,Generation Interconnection,AEP,AEP,185.0,185.0,123.9,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-271,TC2,NC,Active,Generation Interconnection,Dominion,DOM,110.0,40.0,24.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-382,TC2,NC,Active,Generation Interconnection,Dominion,DOM,70.0,70.0,42.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AF2-081,TC1,NC,EP,Generation Interconnection,Dominion,DOM,80.0,80.0,56.0,Capacity,Solar,Solar,2031,
AH1-033,TC2,NC,Active,Generation Interconnection,Dominion,DOM,19.5,19.5,13.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-311,TC2,NC,Active,Generation Interconnection,Dominion,DOM,75.0,0.0,2.25,CAPACITY_RESOURCE,Solar,Solar,2027,
